symbol,side,qty,ref_price,status,filled,remaining,avgFillPrice,permId
SPY,BUY,446,672.38,Filled,446.0,0.0,668.71,778113992
QQQ,BUY,500,599.75,Filled,500.0,0.0,598.35,778113993
VPU,BUY,248,201.6,Filled,248.0,0.0,200.77,778113994
VFH,BUY,405,123.43,Filled,405.0,0.0,120.76,778113995
VHT,BUY,177,282.15,Filled,177.0,0.0,282.24,778113996
VIS,BUY,153,326.26,Filled,153.0,0.0,323.01,778113997
VWO,BUY,612,54.47,Filled,612.0,0.0,54.31,778113998
INDA,BUY,666,49.99,Filled,666.0,0.0,49.45,778113999
VEA,BUY,510,65.28,Filled,510.0,0.0,64.71,778114000
SHY,BUY,151,82.73,Filled,151.0,0.0,82.72,778114001
TLT,BUY,141,88.46,Filled,141.0,0.0,88.79,778114002
BIL,BUY,136,91.44,Filled,136.0,0.0,91.46,778114003
IEI,BUY,104,119.41,Filled,104.0,0.0,119.42,778114004
UNG,BUY,784,12.75,Filled,784.0,0.0,12.66,778114005
SLV,BUY,131,75.94,Filled,131.0,0.0,76.44,778114006
GLD,BUY,21,473.51,Filled,21.0,0.0,468.41,778114007
VNQ,BUY,106,93.55,Filled,106.0,0.0,92.25,778114008
USO,BUY,91,108.77,Filled,91.0,0.0,115.05,778114009
