timestamp,symbol,action,order_type,quantity,delta_shares,estimated_trade_dollars,status
2026-03-12T21:38:26,QQQ,SELL,MKT,5,-5,2998.75,DRY_RUN
2026-03-12T21:38:26,SPY,SELL,MKT,4,-4,2689.52,DRY_RUN
